condition,model_family,split,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,n_seeds,n_samples,crop_width,historical_width_caveat,human_researcher_confirmed_crop_assumption,paper_use_status,notes
Bearing_20_0,no_attention_6ch,test,0.2167647059,0.0167569642,0.1096559194,0.0366760397,0.1096559194,0.0366760397,0.1273358711,0.0976985545,0.2167647059,0.0167569642,5,680,512,true,true,local_reproducibility_diagnostic_only,"local crop-width-512 eval is near random and reflects current code/data/checkpoint provenance gap; not collaborator historical result; do not use as paper evidence"
Bearing_30_2,no_attention_6ch,test,0.2037254902,0.0074509804,0.0800512274,0.0266872968,0.0800512274,0.0266872968,0.0525134533,0.0249679514,0.2037254902,0.0074509804,5,1020,512,true,true,local_reproducibility_diagnostic_only,"local crop-width-512 eval is near random and reflects current code/data/checkpoint provenance gap; not collaborator historical result; do not use as paper evidence"
Gear_20_0,no_attention_6ch,test,0.1997058824,0.0005882353,0.0666666667,0.0000000000,0.0666666667,0.0000000000,0.0400118694,0.0000237389,0.1997058824,0.0005882353,5,680,512,true,true,local_reproducibility_diagnostic_only,"local crop-width-512 eval is near random and reflects current code/data/checkpoint provenance gap; not collaborator historical result; do not use as paper evidence"
Gear_30_2,no_attention_6ch,test,0.1958823529,0.0105117060,0.0949462130,0.0180430923,0.0949462130,0.0180430923,0.0780351480,0.0241165082,0.1958823529,0.0105117060,5,1020,512,true,true,local_reproducibility_diagnostic_only,"local crop-width-512 eval is near random and reflects current code/data/checkpoint provenance gap; not collaborator historical result; do not use as paper evidence"
