condition,seed,view,feature_name,feature_index,mean_abs_shap,normalized_importance,rank,source_npz,aggregation_method,status,notes
Bearing_30_2,42,channel,ch8,5,0.00248219638084,0.187314292642,1,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,42,frequency,cA5,0,0.00110144421085,0.115050065297,5,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,42,frequency,cD5,1,0.00142421637894,0.148764854161,4,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,42,frequency,cD4,2,0.00186801631049,0.195121456338,3,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,42,frequency,cD3,3,0.00215542679127,0.225142581562,2,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,42,frequency,cD2,4,0.00302450418093,0.315921042643,1,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,channel,ch2,0,0.00303693701992,0.16737016988,3,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,channel,ch3,1,0.00287235961835,0.158300061584,4,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,channel,ch4,2,0.00340924864926,0.187888824117,2,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,channel,ch6,3,0.00283645187788,0.156321131964,5,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,channel,ch7,4,0.00255672790671,0.140905122917,6,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,channel,ch8,5,0.00343330651919,0.189214689537,1,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,frequency,cA5,0,0.00173338728549,0.124526549534,5,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,frequency,cD5,1,0.00231335175583,0.166191199407,4,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,frequency,cD4,2,0.00323972930029,0.232742165913,2,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,frequency,cD3,3,0.00282815199377,0.203174450563,3,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,42,frequency,cD2,4,0.0038052007146,0.273365634583,1,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,channel,ch2,0,0.0024509647719,0.162047213773,3,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,channel,ch3,1,0.00227525875886,0.150430290437,6,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,channel,ch4,2,0.00288020731427,0.190426878312,1,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,channel,ch6,3,0.0024391861827,0.161268464285,4,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,channel,ch7,4,0.00240160888543,0.158784015551,5,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,channel,ch8,5,0.00267777818181,0.177043137641,2,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,frequency,cA5,0,0.00134219478425,0.117583351899,5,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,frequency,cD5,1,0.0018590509689,0.162862683449,4,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,frequency,cD4,2,0.00230337262397,0.201787607118,3,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_30_2,42,frequency,cD3,3,0.0025742879274,0.225521218537,2,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
