condition,seed_or_average,view,feature_name,shap_rank,shap_importance,is_topk_shap,has_label_related_causal_edge,edge_direction_to_label,consistency_type,evidence_status,shap_source,dag_source,notes
Bearing_20_0,across_existing_seeds,frequency,cD5,4,0.141043290412,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,channel,ch2,2.8,0.170781361719,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,channel,ch3,4,0.163527558659,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,channel,ch4,3.4,0.164755817352,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,channel,ch6,3.6,0.166522393162,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,channel,ch7,4.8,0.159526550182,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,channel,ch8,2.4,0.174886318926,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,frequency,cA5,5,0.116719008086,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,frequency,cD2,1,0.313855507583,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,frequency,cD3,2,0.230642322651,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,frequency,cD4,3,0.189863450182,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,frequency,cD5,4,0.148919711499,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,channel,ch2,4.2,0.162642462904,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,channel,ch3,4,0.165082441672,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,channel,ch4,3.2,0.169455232876,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,channel,ch6,4.2,0.1622055163,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,channel,ch7,4,0.159120354256,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,channel,ch8,1.4,0.181493991992,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,frequency,cA5,5,0.107780445416,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,frequency,cD2,1,0.275864807307,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,frequency,cD3,3,0.201676979717,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
