condition,view,feature_name,mean_importance_across_seeds,std_importance_across_seeds,mean_rank,std_rank,topk_frequency,is_topk_shap,has_label_related_causal_edge,label_relation_type,edge_direction_to_label,consistency_type,evidence_strength,shap_source,edge_source,notes
Bearing_30_2,channel,ch2,0.170781361719,0.00283565397003,2.8,0.979795897113,0.800000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch3,0.163527558659,0.013566337593,4,2.09761769634,0.400000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch4,0.164755817352,0.0136714297814,3.4,1.8547236991,0.600000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch6,0.166522393162,0.0098465415422,3.6,1.35646599663,0.200000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch7,0.159526550182,0.00798148672437,4.8,1.16619037897,0.200000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch8,0.174886318926,0.00687212460309,2.4,1.35646599663,0.800000,False,True,label_to_feature,label->ch8,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,PC_Datasets/Seed_49/Bearing_30_2.csv,topk_threshold=2; label_edges=1
Bearing_30_2,frequency,cA5,0.116719008086,0.00377060587863,5,0,0.000000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_30_2,frequency,cD2,0.313855507583,0.00298590450521,1,0,1.000000,True,True,feature_to_label,cD2->label,high_shap_label_edge_consistent,strong,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,PC_Datasets/average/Bearing_30_2.csv,topk_threshold=2; label_edges=1
Bearing_30_2,frequency,cD3,0.230642322651,0.00441866454147,2,0,1.000000,True,True,label_to_feature|undirected_with_label,label->cD3|undirected_or_partially_oriented,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,PC_Datasets/Seed_49/Bearing_30_2.csv|PC_Datasets/average/Bearing_30_2.csv,topk_threshold=2; label_edges=2
Bearing_30_2,frequency,cD4,0.189863450182,0.00641318661352,3,0,1.000000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
