condition,view,topk,n_features,n_high_shap_label_edge_consistent,n_high_shap_no_label_edge_potential_shortcut,n_low_shap_label_edge_underused_causal_feature,n_low_shap_no_label_edge_uninformative,n_unknown_edge_direction,n_missing_edge_evidence,topk_features,label_edge_features,status,notes
Bearing_20_0,channel,2,6,0,0,2,3,1,0,,ch3|ch7|ch8,ok,Counts are based on SHAP stability table joined with exported PC-DAG edges.
Bearing_20_0,frequency,2,5,0,0,0,0,5,0,cD2|cD3,cA5|cD2|cD3|cD4|cD5,ok,Counts are based on SHAP stability table joined with exported PC-DAG edges.
Bearing_30_2,channel,2,6,0,0,0,5,1,0,,ch8,ok,Counts are based on SHAP stability table joined with exported PC-DAG edges.
Bearing_30_2,frequency,2,5,1,0,1,2,1,0,cD2|cD3,cD2|cD3|cD5,ok,Counts are based on SHAP stability table joined with exported PC-DAG edges.
Gear_20_0,channel,2,6,0,1,0,2,3,0,ch8,ch2|ch4|ch6,ok,Counts are based on SHAP stability table joined with exported PC-DAG edges.
Gear_20_0,frequency,2,5,0,1,0,0,4,0,cD2|cD4,cA5|cD2|cD3|cD5,ok,Counts are based on SHAP stability table joined with exported PC-DAG edges.
Gear_30_2,channel,2,6,0,0,0,3,3,0,,ch2|ch3|ch4,ok,Counts are based on SHAP stability table joined with exported PC-DAG edges.
Gear_30_2,frequency,2,5,0,0,0,1,4,0,cD2|cD3,cD2|cD3|cD4|cD5,ok,Counts are based on SHAP stability table joined with exported PC-DAG edges.
